id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
59,EPWA,large_airport,Warsaw Chopin Airport,52.1657,20.9671,362,Europe,PL,PL-MZ,Warsaw,EPWA,WAW,
60,LKPR,large_airport,Václav Havel Airport Prague,50.1008,14.2600,1247,Europe,CZ,CZ-10,Prague,LKPR,PRG,
61,LHBP,large_airport,Budapest Ferenc Liszt International Airport,47.4369,19.2323,495,Europe,HU,HU-BU,Budapest,LHBP,BUD,
62,EBBR,large_airport,Brussels Airport,50.9014,4.4844,184,Europe,BE,BE-BRU,Brussels,EBBR,BRU,
150,ULLI,large_airport,Pulkovo Airport,59.8003,30.2625,78,Europe,RU,RU-SPE,St. Petersburg,ULLI,LED,
153,URSS,large_airport,Sochi International Airport,43.4499,39.9566,89,Europe,RU,RU-KDA,Sochi,URSS,AER,
154,UWKD,large_airport,Kazan International Airport,55.6062,49.2787,411,Europe,RU,RU-TA,Kazan,UWKD,KZN,
159,UWOO,large_airport,Orenburg Central Airport,51.7958,55.4586,387,Europe,RU,RU-ORE,Orenburg,UWOO,REN,
162,ULAA,large_airport,Talagi Airport,64.5961,40.7167,62,Europe,RU,RU-ARK,Arkhangelsk,ULAA,ARH,
178,BIKF,large_airport,Keflavík International Airport,63.9850,-22.6056,171,Europe,IS,IS-2,Reykjavík,BIKF,KEF,
179,BIRK,medium_airport,Reykjavík Airport,64.1299,-21.9405,48,Europe,IS,IS-1,Reykjavík,BIRK,RKV,
186,BKPR,large_airport,Pristina International Airport,42.5728,21.0358,1789,Europe,XK,XK-01,Pristina,BKPR,PRN,
187,LWSK,large_airport,Skopje International Airport,41.9616,21.6214,781,Europe,MK,MK-80,Skopje,LWSK,SKP,
188,LYBE,large_airport,Belgrade Nikola Tesla Airport,44.8184,20.3091,335,Europe,RS,RS-00,Belgrade,LYBE,BEG,
189,LBSF,large_airport,Sofia Airport,42.6967,23.4114,1742,Europe,BG,BG-22,Sofia,LBSF,SOF,
190,LROP,large_airport,Henri Coandă International Airport,44.5711,26.0858,314,Europe,RO,RO-B,Bucharest,LROP,OTP,
191,UKBB,large_airport,Boryspil International Airport,50.3450,30.8947,427,Europe,UA,UA-32,Kyiv,UKBB,KBP,
192,UKKK,large_airport,Igor Sikorsky Kyiv International Airport (Zhuliany),50.4019,30.4519,587,Europe,UA,UA-30,Kyiv,UKKK,IEV,
193,UMMS,large_airport,Minsk National Airport,53.8825,28.0307,669,Europe,BY,BY-HM,Minsk,UMMS,MSQ,
194,EVRA,large_airport,Riga International Airport,56.9236,23.9711,36,Europe,LV,LV-RIX,Riga,EVRA,RIX,
195,EYVI,large_airport,Vilnius International Airport,54.6341,25.2858,646,Europe,LT,LT-VL,Vilnius,EYVI,VNO,
196,EETN,large_airport,Lennart Meri Tallinn Airport,59.4133,24.8328,131,Europe,EE,EE-37,Tallinn,EETN,TLL

