id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,address
425,ZA-0271,small_airport,Siyancuma West 2 Airport,-29.2236,23.4808,261,Africa,ZA,Northern Cape,Siyancuma,ZA-0271,,,
426,FASM,small_airport,Siteka Airport,-29.3250,30.1492,400,Africa,ZA,Kwazulu-Natal,Siteka,FASM,,,
427,FASS,medium_airport,Sishen Airport,-27.6486,22.9993,848,Africa,ZA,Northern Cape,Sishen,FASS,SIS,,
428,ZA-0300,small_airport,Sirkel N Airport,-23.2018,28.4857,61,Africa,ZA,Limpopo,Baltimore,ZA-0300,,,
429,ZA-0138,small_airport,Singita Safari Lodge Airport,-24.8020,31.4219,365,Africa,ZA,Mpumalanga,Singita Safari Lodge,ZA-0138,SSX,,
430,ZA-0118,Unknown,Simon's Town Airstrip [CLOSED],-34.2066,18.4274,0,Africa,ZA,Western Cape,Cape Town,ZA-0118,,,
431,ZA-0349,small_airport,Silver Creek Gorge Estate Airfield,-25.8011,27.5154,354,Africa,ZA,North-West,Mooinooi,ZA-0349,,,
432,ZA-0154,small_airport,Shingwedzi Camp Airstrip,-23.1150,31.4275,0,Africa,ZA,Limpopo,Shingwedzi,ZA-0154,,,
433,ZA-0231,small_airport,SHAMWARI,-33.4570,26.0514,695,Africa,ZA,Eastern Cape,Shamwari,ZA-0231,,,
434,ZA-0241,heliport,Shambala Game Estate Heliport,-24.2792,28.0338,0,Africa,ZA,Limpopo,Shambala Game Estate,ZA-0241,,,
435,FASN,small_airport,Senekal Airport,-28.3122,27.6461,849,Africa,ZA,Free State,Senekal,FASN,,,
436,ZA-0343,small_airport,Selati Airstrip,-24.0116,30.6842,663,Africa,ZA,Limpopo,Gravelotte,ZA-0343,,,
437,FASC,medium_airport,Secunda Airport,-26.5241,29.1701,250,Africa,ZA,Mpumalanga,Secunda,FASC,ZEC,,
438,ZA-0185,small_airport,Seaview Airport,-34.0011,25.3518,0,Africa,ZA,Eastern Cape,Gqeberha,ZA-0185,,,
439,ZA-0176,small_airport,Scottburgh Airfield,-30.3056,30.7360,0,Africa,ZA,Kwazulu-Natal,Scottburgh,ZA-0176,,,
440,ZA-0056,small_airport,Scottburg Airport,-30.2857,30.6569,196,Africa,ZA,Kwazulu-Natal,Umzinto,ZA-0056,,,
441,FASG,small_airport,Schweizer Reneke Airport,-27.1631,25.2861,373,Africa,ZA,North-West,Schweizer Reneke,FASG,,,
442,ZA-0046,small_airport,Schmidtsdrif Airport,-28.6667,24.0333,366,Africa,ZA,Northern Cape,Schmidtsdrif,ZA-0046,,,
443,ZA-0227,small_airport,Satara,-24.3770,31.7765,928,Africa,ZA,Mpumalanga,Satara,ZA-0227,,,
444,ZA-0101,small_airport,Sappi / Ngodwana,-25.5887,30.6224,0,Africa,ZA,Mpumalanga,Ngodwana,ZA-0101,,,
445,ZA-0335,Unknown,Sani Pass Airport [CLOSED],-29.6572,29.4477,933,Africa,ZA,Kwazulu-Natal,Sani Pass,ZA-0335,,,
446,ZA-0299,small_airport,Sandringham Farm Airstrip,-24.5402,31.2061,575,Africa,ZA,Limpopo,Sandringham,ZA-0299,,,
447,ZA-0238,small_airport,Sanbona Wildlife Reserve Airfield,-33.7233,20.6150,0,Africa,ZA,Western Cape,Sanbona Wildlife Reserve,ZA-0238,,,
448,ZA-0205,heliport,Sanan Helipad,-26.2298,28.0410,597,Africa,ZA,Gauteng,Johannesburg,ZA-0205,,,
449,FASD,medium_airport,Saldanha/Vredenburg Airport,-32.9641,17.9693,50,Africa,ZA,Western Cape,Saldanha-Vredenburg,FASD,,,
450,FASJ,small_airport,Saffier Airport,-26.7600,27.7600,700,Africa,ZA,Gauteng,Saffier,FASJ,,,
451,FASU,small_airport,Sace Airport,-25.9569,29.2117,151,Africa,ZA,Mpumalanga,Sace,FASU,,,
452,FASE,small_airport,Sabi Sabi Airport,-24.9474,31.4488,276,Africa,ZA,Mpumalanga,Belfast,FASE,GSS,,
453,FARG,medium_airport,Rustenburg Airport,-25.6443,27.2711,700,Africa,ZA,North-West,Rustenburg,FARG,,,
454,FARO,small_airport,Rooiberg Airport,-24.7778,27.7523,811,Africa,ZA,Limpopo,Rooiberg,FARO,,,
455,FARS,medium_airport,Robertson Airport,-33.8122,19.9028,640,Africa,ZA,Western Cape,Robertson,FARS,ROD,,
456,ZA-0193,heliport,Robben Island Heliport,-33.8033,18.3670,0,Africa,ZA,Western Cape,Cape Town,ZA-0193,,,
457,ZA-0107,Unknown,Robben Island Airstrip [CLOSED],-33.8004,18.3637,0,Africa,ZA,Western Cape,Cape Town,ZA-0107,,,
458,ZA-0064,small_airport,Riverview Airport,-28.4333,32.1500,210,Africa,ZA,Kwazulu-Natal,Riverview,ZA-0064,,,
459,ZA-0069,small_airport,Riverside Airport,-25.4289,31.5770,24,Africa,ZA,Mpumalanga,Malelane,ZA-0069,,,
460,FARD,small_airport,Riversdale Airport,-34.1117,21.2628,591,Africa,ZA,Western Cape,Riversdale,FARD,,,
461,ZA-0348,Unknown,Rietfontein Airfield [CLOSED],-26.0316,27.8812,38,Africa,ZA,Gauteng,Rietfontein,ZA-0348,,,
462,FARM,small_airport,Richmond Airport,-31.4235,23.9782,731,Africa,ZA,Northern Cape,Richmond,FARM,,,
463,FARB,medium_airport,Richards Bay Airport,-28.7410,32.0921,109,Africa,ZA,Kwazulu-Natal,Richards Bay,FARB,RCB,,
464,FARI,small_airport,Reivilo Airport,-27.5472,24.1725,715,Africa,ZA,North-West,Reivilo,FARI,RVO,,
465,FARZ,small_airport,Reitz Airport,-22.7842,28.4303,331,Africa,ZA,Limpopo,Maasstroom,FARZ,,,
466,ZA-0305,small_airport,Regyne Protea Farm Airport,-34.0327,24.2207,673,Africa,ZA,Eastern Cape,Kou-Kamma,ZA-0305,,,
467,FAGM,medium_airport,Rand Airport,-26.2425,28.1512,483,Africa,ZA,Gauteng,Johannesburg,FAGM,QRA,,
468,ZA-0076,small_airport,Ranch Motel Airport,-24.0410,29.2759,500,Africa,ZA,Limpopo,Polokwane,ZA-0076,,,
469,FAQT,medium_airport,Queenstown Airport,-31.9202,26.8822,637,Africa,ZA,Eastern Cape,Queenstown,FAQT,UTW,,
470,FAPQ,small_airport,Punda Maria,-22.7700,31.0108,500,Africa,ZA,Limpopo,Kruger National Park,FAPQ,,,
471,ZA-0117,heliport,Pumba Helipad,-33.3878,26.4106,0,Africa,ZA,Eastern Cape,Nelson Mandela Bay,ZA-0117,,,
472,ZA-0116,small_airport,Pumba Airstrip,-33.3919,26.3464,0,Africa,ZA,Eastern Cape,Nelson Mandela Bay,ZA-0116,,,
473,FAHE,small_airport,Pullenshope Hendrina Airport,-25.9778,29.6189,171,Africa,ZA,Mpumal
