id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
79,VOBL,large_airport,Kempegowda International Airport,13.1979,77.7063,3000,Asia,IN,IN-KA,Bangalore,VOBL,BLR,
80,WIII,large_airport,Soekarno-Hatta International Airport,-6.1256,106.6559,34,Asia,ID,ID-BT,Jakarta,WIII,CGK,
81,WADD,large_airport,I Gusti Ngurah Rai International Airport,-8.7481,115.1671,14,Asia,ID,ID-BA,Denpasar,WADD,DPS,
82,WMKK,large_airport,Kuala Lumpur International Airport,2.7456,101.7099,69,Asia,MY,MY-10,Kuala Lumpur,WMKK,KUL,
83,RPLL,large_airport,Ninoy Aquino International Airport,14.5086,121.0194,75,Asia,PH,PH-00,Manila,RPLL,MNL,
84,VVTS,large_airport,Tan Son Nhat International Airport,10.8188,106.6519,33,Asia,VN,VN-SG,Ho Chi Minh City,VVTS,SGN,
85,VVNB,large_airport,Noi Bai International Airport,21.2212,105.8072,39,Asia,VN,VN-HN,Hanoi,VVNB,HAN,
86,OTHH,large_airport,Hamad International Airport,25.2731,51.6081,13,Asia,QA,QA-DA,Doha,OTHH,DOH,
87,OEJN,large_airport,King Abdulaziz International Airport,21.6796,39.1565,48,Asia,SA,SA-02,Jeddah,OEJN,JED,
88,OERK,large_airport,King Khalid International Airport,24.9576,46.6988,2049,Asia,SA,SA-01,Riyadh,OERK,RUH,
89,LLBG,large_airport,Ben Gurion International Airport,32.0114,34.8867,135,Asia,IL,IL-M,Tel Aviv,LLBG,TLV,
90,OKBK,large_airport,Kuwait International Airport,29.2266,47.9689,206,Asia,KW,KW-FA,Kuwait City,OKBK,KWI,
91,OBBI,large_airport,Bahrain International Airport,26.2708,50.6336,6,Asia,BH,BH-13,Manama,OBBI,BAH,
92,VNKT,large_airport,Tribhuvan International Airport,27.6966,85.3591,4390,Asia,NP,NP-P3,Kathmandu,VNKT,KTM,
93,VCBI,large_airport,Bandaranaike International Airport,7.1808,79.8841,30,Asia,LK,LK-11,Colombo,VCBI,CMB,
151,UNNT,large_airport,Novosibirsk Tolmachevo Airport,55.0126,82.6507,367,Asia,RU,RU-NVS,Novosibirsk,UNNT,OVB,
152,USSS,large_airport,Koltsovo International Airport,56.7431,60.8027,764,Asia,RU,RU-SVE,Yekaterinburg,USSS,SVX,
155,UHWW,large_airport,Vladivostok International Airport,43.3967,132.1480,46,Asia,RU,RU-PRI,Vladivostok,UHWW,VVO,
156,UHHH,large_airport,Khabarovsk Novy Airport,48.5280,135.1884,244,Asia,RU,RU-KHA,Khabarovsk,UHHH,KHV,
157,UIII,large_airport,Irkutsk International Airport,52.2680,104.3890,1675,Asia,RU,RU-IRK,Irkutsk,UIII,IKT,
158,UNKL,large_airport,Krasnoyarsk International Airport,56.1717,92.4933,942,Asia,RU,RU-KYA,Krasnoyarsk,UNKL,KJA,
160,UHPP,large_airport,Yelizovo Airport,53.1679,158.4538,131,Asia,RU,RU-KAM,Petropavlovsk-Kamchatsky,UHPP,PKC,
161,UEEE,large_airport,Yakutsk Airport,62.0933,129.7706,325,Asia,RU,RU-SA,Yakutsk,UEEE,YKS,
180,UAAA,large_airport,Almaty International Airport,43.3521,77.0405,2234,Asia,KZ,KZ-ALA,Almaty,UAAA,ALA,
181,UACC,large_airport,Nursultan Nazarbayev International Airport,51.0222,71.4669,1165,Asia,KZ,KZ-AST,Nur-Sultan,UACC,NQZ,
182,UTTT,large_airport,Islam Karimov Tashkent International Airport,41.2579,69.2812,1417,Asia,UZ,UZ-TA,Tashkent,UTTT,TAS,
183,UBBB,large_airport,Heydar Aliyev International Airport,40.4675,50.0467,10,Asia,AZ,AZ-BA,Baku,UBBB,GYD,
184,UDYZ,large_airport,Zvartnots International Airport,40.1473,44.3959,2838,Asia,AM,AM-ER,Yerevan,UDYZ,EVN,
185,UGTB,large_airport,Tbilisi International Airport,41.6692,44.9547,1624,Asia,GE,GE-TB,Tbilisi,UGTB,TBS

